item,conditions,list,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,prefer_first_1st,combination,relevant_property
6,brdf,1.0,3.0,9.0,9.0,1.0,2.0,9.0,1.0,green,green,black,brown,grey,black,heart,triangle,heart,heart,triangle,triangle,sharp,79,dimension_form,both
15,brdc,1.0,2.0,10.0,10.0,3.0,3.0,10.0,3.0,blue,green,blue,blue,green,green,triangle,star,diamond,circle,heart,quadrat,sharp,83,dimension_color,both
19,zrdf,1.0,9.0,9.0,9.0,10.0,9.0,10.0,3.0,brown,blue,green,grey,brown,green,diamond,triangle,triangle,triangle,triangle,triangle,sharp,21,dimension_form,second
23,brdc,1.0,2.0,10.0,10.0,2.0,3.0,9.0,3.0,grey,black,grey,grey,black,black,star,diamond,triangle,circle,quadrat,circle,sharp,27,dimension_color,both
26,erdc,1.0,5.0,10.0,3.0,1.0,3.0,1.0,3.0,black,black,black,black,black,orange,diamond,star,heart,quadrat,diamond,triangle,sharp,20,dimension_color,first
14,zrdf,1.0,9.0,9.0,9.0,9.0,10.0,9.0,2.0,black,green,brown,brown,grey,grey,quadrat,star,star,star,star,star,sharp,13,dimension_form,second
10,zrcf,1.0,7.0,2.0,3.0,3.0,3.0,1.0,10.0,orange,orange,orange,orange,orange,blue,triangle,diamond,diamond,diamond,diamond,diamond,sharp,24,color_form,second
2,zrcf,1.0,7.0,1.0,9.0,3.0,3.0,1.0,10.0,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,14,color_form,second
9,zrdf,1.0,9.0,10.0,9.0,9.0,9.0,9.0,1.0,brown,black,black,blue,orange,grey,circle,heart,heart,heart,heart,heart,sharp,8,dimension_form,second
11,erdf,1.0,6.0,10.0,1.0,2.0,2.0,3.0,1.0,blue,grey,orange,brown,orange,grey,circle,circle,circle,circle,circle,quadrat,sharp,87,dimension_form,first
13,ercf,1.0,4.0,1.0,10.0,10.0,3.0,9.0,2.0,brown,orange,orange,orange,orange,orange,circle,circle,circle,circle,circle,diamond,sharp,84,color_form,first
19,brdf,1.0,3.0,10.0,10.0,1.0,2.0,9.0,3.0,grey,grey,blue,blue,blue,grey,diamond,triangle,diamond,diamond,triangle,triangle,sharp,15,dimension_form,both
18,brdc,1.0,2.0,9.0,10.0,2.0,1.0,9.0,1.0,green,brown,green,green,brown,brown,heart,triangle,heart,quadrat,quadrat,heart,sharp,81,dimension_color,both
5,zrcf,1.0,7.0,9.0,1.0,3.0,3.0,1.0,1.0,grey,grey,grey,grey,grey,black,quadrat,star,star,star,star,star,sharp,6,color_form,second
3,brdf,1.0,3.0,10.0,10.0,3.0,2.0,9.0,1.0,orange,brown,orange,green,green,brown,star,heart,star,star,heart,heart,sharp,80,dimension_form,both
20,erdc,1.0,5.0,9.0,2.0,3.0,2.0,2.0,3.0,grey,grey,grey,grey,grey,brown,quadrat,quadrat,quadrat,quadrat,diamond,triangle,sharp,87,dimension_color,first
11,zrdf,1.0,9.0,10.0,10.0,10.0,9.0,10.0,1.0,brown,orange,black,green,green,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,10,dimension_form,second
4,brdc,1.0,2.0,10.0,9.0,1.0,2.0,9.0,2.0,orange,brown,orange,orange,brown,brown,quadrat,quadrat,heart,quadrat,diamond,star,sharp,18,dimension_color,both
14,erdf,1.0,6.0,9.0,3.0,3.0,1.0,3.0,2.0,blue,blue,grey,brown,black,orange,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,83,dimension_form,first
4,zrdc,1.0,8.0,9.0,10.0,10.0,10.0,9.0,2.0,orange,brown,brown,brown,brown,brown,diamond,star,circle,circle,diamond,diamond,sharp,14,dimension_color,second
8,zrcf,1.0,7.0,3.0,1.0,9.0,9.0,2.0,10.0,orange,orange,orange,orange,orange,black,star,diamond,diamond,diamond,diamond,diamond,sharp,11,color_form,second
17,zrdf,1.0,9.0,9.0,10.0,9.0,9.0,9.0,1.0,black,brown,black,brown,blue,brown,star,diamond,diamond,diamond,diamond,diamond,sharp,16,dimension_form,second
26,zrdc,1.0,8.0,10.0,10.0,9.0,9.0,9.0,2.0,orange,black,black,black,black,black,diamond,quadrat,triangle,circle,quadrat,triangle,sharp,14,dimension_color,second
7,zrdc,1.0,8.0,9.0,10.0,10.0,10.0,9.0,1.0,blue,grey,grey,grey,grey,grey,quadrat,circle,triangle,circle,star,triangle,sharp,9,dimension_color,second
26,brdc,1.0,2.0,9.0,10.0,1.0,1.0,10.0,1.0,orange,black,orange,orange,black,black,triangle,diamond,circle,quadrat,star,circle,sharp,-1,dimension_color,both
19,erdf,1.0,6.0,10.0,1.0,3.0,2.0,2.0,1.0,green,blue,brown,blue,grey,grey,diamond,diamond,diamond,diamond,diamond,triangle,sharp,81,dimension_form,first
1,zrdc,1.0,8.0,9.0,10.0,9.0,10.0,9.0,2.0,blue,orange,orange,orange,orange,orange,star,heart,quadrat,quadrat,quadrat,star,sharp,11,dimension_color,second
12,brdc,1.0,2.0,9.0,9.0,2.0,2.0,10.0,2.0,green,black,green,green,black,black,circle,quadrat,diamond,heart,triangle,quadrat,sharp,81,dimension_color,both
22,erdf,1.0,6.0,10.0,1.0,3.0,3.0,1.0,1.0,brown,brown,green,black,grey,green,diamond,diamond,diamond,diamond,diamond,circle,sharp,89,dimension_form,first
27,zrcf,1.0,7.0,2.0,2.0,10.0,10.0,3.0,9.0,green,green,green,green,green,brown,heart,circle,circle,circle,circle,circle,sharp,13,color_form,second
25,zrdf,1.0,9.0,10.0,10.0,9.0,10.0,9.0,3.0,blue,grey,black,green,green,green,quadrat,triangle,triangle,triangle,triangle,triangle,sharp,16,dimension_form,second
22,brdf,1.0,3.0,9.0,9.0,1.0,1.0,10.0,3.0,green,black,brown,black,black,orange,diamond,circle,diamond,diamond,circle,circle,sharp,82,dimension_form,both
20,brdc,1.0,2.0,9.0,9.0,1.0,3.0,10.0,3.0,brown,grey,brown,brown,grey,grey,circle,diamond,quadrat,quadrat,heart,star,sharp,27,dimension_color,both
5,ercf,1.0,4.0,2.0,2.0,9.0,9.0,9.0,2.0,grey,black,black,black,black,black,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,91,color_form,first
7,brdc,1.0,2.0,9.0,9.0,1.0,1.0,10.0,2.0,blue,grey,blue,blue,grey,grey,quadrat,triangle,heart,heart,star,quadrat,sharp,84,dimension_color,both
17,brdf,1.0,3.0,9.0,10.0,3.0,2.0,10.0,2.0,orange,blue,black,blue,green,orange,star,diamond,star,star,diamond,diamond,sharp,84,dimension_form,both
1,erdc,1.0,5.0,9.0,1.0,1.0,1.0,2.0,1.0,blue,blue,blue,blue,blue,orange,quadrat,diamond,triangle,triangle,star,triangle,sharp,89,dimension_color,first
15,zrdc,1.0,8.0,9.0,10.0,10.0,10.0,10.0,1.0,blue,green,green,green,green,green,heart,heart,quadrat,quadrat,quadrat,star,sharp,11,dimension_color,second
24,zrcf,1.0,7.0,3.0,10.0,2.0,10.0,1.0,9.0,blue,blue,blue,blue,blue,green,triangle,heart,heart,heart,heart,heart,sharp,13,color_form,second
6,zrdf,1.0,9.0,9.0,10.0,9.0,10.0,10.0,3.0,brown,orange,blue,blue,green,blue,heart,triangle,triangle,triangle,triangle,triangle,sharp,19,dimension_form,second
10,brcf,1.0,1.0,2.0,10.0,10.0,9.0,3.0,1.0,orange,orange,blue,blue,orange,blue,triangle,diamond,triangle,triangle,diamond,diamond,sharp,16,color_form,both
16,ercf,1.0,4.0,3.0,9.0,3.0,10.0,1.0,1.0,grey,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,82,color_form,first
27,ercf,1.0,4.0,2.0,2.0,9.0,10.0,3.0,9.0,brown,green,green,green,green,green,heart,heart,heart,heart,heart,circle,sharp,87,color_form,first
14,brdf,1.0,3.0,10.0,10.0,2.0,2.0,10.0,2.0,black,orange,orange,grey,brown,green,quadrat,star,quadrat,quadrat,star,star,sharp,75,dimension_form,both
21,ercf,1.0,4.0,9.0,9.0,3.0,1.0,2.0,1.0,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,sharp,86,color_form,first
2,brcf,1.0,1.0,10.0,9.0,9.0,2.0,2.0,1.0,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,sharp,14,color_form,both
18,zrdc,1.0,8.0,9.0,10.0,9.0,10.0,9.0,2.0,green,brown,brown,brown,brown,brown,quadrat,heart,triangle,triangle,circle,heart,sharp,14,dimension_color,second
23,zrdc,1.0,8.0,10.0,9.0,9.0,10.0,10.0,1.0,grey,black,black,black,black,black,quadrat,quadrat,triangle,circle,quadrat,triangle,sharp,12,dimension_color,second
27,brcf,1.0,1.0,1.0,1.0,10.0,1.0,10.0,9.0,brown,brown,green,green,brown,green,heart,circle,heart,heart,circle,circle,sharp,71,color_form,both
24,ercf,1.0,4.0,3.0,9.0,1.0,1.0,1.0,10.0,green,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,heart,sharp,86,color_form,first
25,brdf,1.0,3.0,9.0,9.0,1.0,1.0,9.0,2.0,brown,black,blue,black,black,blue,quadrat,triangle,quadrat,quadrat,triangle,triangle,sharp,65,dimension_form,both
6,erdf,1.0,6.0,9.0,2.0,2.0,1.0,3.0,1.0,green,grey,orange,brown,green,brown,heart,heart,heart,heart,heart,triangle,sharp,85,dimension_form,first
9,brdf,1.0,3.0,10.0,10.0,3.0,1.0,10.0,2.0,blue,brown,orange,brown,blue,grey,circle,heart,circle,circle,heart,heart,sharp,83,dimension_form,both
5,brcf,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,sharp,25,color_form,both
2,ercf,1.0,4.0,1.0,9.0,1.0,9.0,10.0,1.0,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,sharp,95,color_form,first
16,brcf,1.0,1.0,1.0,1.0,1.0,3.0,9.0,10.0,grey,grey,blue,blue,grey,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,17,color_form,both
12,zrdc,1.0,8.0,9.0,9.0,9.0,9.0,9.0,1.0,green,black,black,black,black,black,triangle,quadrat,diamond,star,heart,quadrat,sharp,11,dimension_color,second
21,zrcf,1.0,7.0,2.0,2.0,10.0,1.0,10.0,1.0,green,green,green,green,green,black,heart,star,star,star,star,star,sharp,10,color_form,second
9,erdf,1.0,6.0,10.0,2.0,1.0,1.0,3.0,1.0,grey,black,orange,grey,green,brown,circle,circle,circle,circle,circle,heart,sharp,81,dimension_form,first
22,zrdf,1.0,9.0,10.0,10.0,9.0,9.0,9.0,1.0,grey,black,blue,grey,black,green,diamond,circle,circle,circle,circle,circle,sharp,21,dimension_form,second
11,brdf,1.0,3.0,10.0,10.0,1.0,3.0,9.0,2.0,green,blue,grey,black,brown,orange,circle,quadrat,circle,circle,quadrat,quadrat,sharp,14,dimension_form,both
1,brdc,1.0,2.0,10.0,10.0,3.0,2.0,10.0,1.0,blue,orange,blue,blue,orange,orange,triangle,quadrat,quadrat,circle,diamond,triangle,sharp,86,dimension_color,both
25,erdf,1.0,6.0,9.0,2.0,2.0,2.0,2.0,3.0,black,orange,orange,black,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,sharp,82,dimension_form,first
12,erdc,1.0,5.0,9.0,1.0,3.0,2.0,3.0,2.0,green,green,green,green,green,black,triangle,triangle,star,diamond,circle,quadrat,sharp,83,dimension_color,first
15,erdc,1.0,5.0,9.0,1.0,2.0,1.0,2.0,2.0,blue,blue,blue,blue,blue,green,triangle,quadrat,star,triangle,quadrat,star,sharp,80,dimension_color,first
4,erdc,1.0,5.0,10.0,3.0,2.0,2.0,2.0,2.0,orange,orange,orange,orange,orange,brown,diamond,star,diamond,diamond,quadrat,heart,sharp,77,dimension_color,first
7,erdc,1.0,5.0,10.0,3.0,3.0,3.0,3.0,3.0,blue,blue,blue,blue,blue,grey,quadrat,diamond,circle,star,quadrat,heart,sharp,83,dimension_color,first
8,ercf,1.0,4.0,3.0,2.0,10.0,1.0,1.0,3.0,orange,black,black,black,black,black,star,star,star,star,star,diamond,sharp,87,color_form,first
3,erdf,1.0,6.0,9.0,3.0,1.0,3.0,1.0,2.0,green,green,grey,orange,blue,green,star,star,star,star,star,heart,sharp,90,dimension_form,first
13,zrcf,1.0,7.0,9.0,3.0,2.0,2.0,9.0,9.0,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,sharp,9,color_form,second
3,zrdf,1.0,9.0,10.0,10.0,10.0,9.0,9.0,3.0,brown,green,brown,black,brown,grey,star,heart,heart,heart,heart,heart,sharp,9,dimension_form,second
8,brcf,1.0,1.0,1.0,1.0,9.0,1.0,1.0,3.0,orange,orange,black,black,orange,black,star,diamond,star,star,diamond,diamond,sharp,54,color_form,both
23,erdc,1.0,5.0,10.0,2.0,3.0,2.0,3.0,1.0,black,black,black,black,black,grey,quadrat,triangle,circle,quadrat,quadrat,quadrat,sharp,90,dimension_color,first
21,brcf,1.0,1.0,3.0,9.0,9.0,1.0,1.0,2.0,black,black,green,green,black,green,heart,star,heart,heart,star,star,sharp,8,color_form,both
13,brcf,1.0,1.0,3.0,2.0,10.0,9.0,1.0,2.0,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,sharp,64,color_form,both
24,brcf,1.0,1.0,1.0,9.0,9.0,10.0,9.0,9.0,green,green,blue,blue,green,blue,triangle,heart,triangle,triangle,heart,heart,sharp,28,color_form,both
17,erdf,1.0,6.0,10.0,2.0,1.0,3.0,1.0,1.0,green,brown,green,blue,black,blue,star,star,star,star,star,diamond,sharp,86,dimension_form,first
18,erdc,1.0,5.0,10.0,1.0,3.0,2.0,1.0,2.0,green,green,green,green,green,brown,quadrat,quadrat,quadrat,diamond,quadrat,quadrat,sharp,82,dimension_color,first
16,zrcf,1.0,7.0,10.0,10.0,10.0,3.0,1.0,2.0,grey,grey,grey,grey,grey,blue,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,11,color_form,second
19,brdc,3.0,2.0,10.0,10.0,1.0,2.0,9.0,3.0,blue,orange,blue,blue,orange,orange,triangle,star,star,heart,quadrat,quadrat,sharp,91,dimension_color,both
7,brcf,3.0,1.0,3.0,2.0,10.0,9.0,2.0,3.0,blue,blue,grey,grey,blue,grey,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,0,color_form,both
21,erdf,3.0,6.0,10.0,2.0,3.0,3.0,1.0,3.0,brown,grey,green,black,grey,grey,heart,heart,heart,heart,heart,star,sharp,99,dimension_form,first
7,zrcf,3.0,7.0,10.0,3.0,10.0,9.0,1.0,2.0,blue,blue,blue,blue,blue,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,0,color_form,second
17,erdc,3.0,5.0,10.0,2.0,1.0,3.0,1.0,1.0,black,black,black,black,black,orange,heart,star,diamond,heart,quadrat,diamond,sharp,100,dimension_color,first
22,erdc,3.0,5.0,10.0,1.0,3.0,3.0,1.0,1.0,brown,brown,brown,brown,brown,orange,quadrat,triangle,quadrat,quadrat,triangle,quadrat,sharp,100,dimension_color,first
11,erdc,3.0,5.0,10.0,1.0,2.0,2.0,3.0,1.0,grey,grey,grey,grey,grey,brown,circle,star,heart,quadrat,quadrat,quadrat,sharp,100,dimension_color,first
4,zrcf,3.0,7.0,10.0,1.0,3.0,1.0,3.0,3.0,orange,orange,orange,orange,orange,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,0,color_form,second
1,zrcf,3.0,7.0,2.0,2.0,1.0,3.0,2.0,3.0,blue,blue,blue,blue,blue,orange,triangle,diamond,diamond,diamond,diamond,diamond,sharp,0,color_form,second
17,brdc,3.0,2.0,9.0,10.0,3.0,2.0,10.0,2.0,black,orange,black,black,orange,orange,star,triangle,heart,quadrat,star,heart,sharp,100,dimension_color,both
13,brdf,3.0,3.0,9.0,9.0,2.0,3.0,9.0,1.0,grey,orange,grey,orange,grey,grey,circle,diamond,circle,circle,diamond,diamond,sharp,100,dimension_form,both
13,zrdf,3.0,9.0,9.0,9.0,10.0,10.0,10.0,3.0,brown,blue,black,green,black,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,100,dimension_form,second
27,erdf,3.0,6.0,10.0,3.0,1.0,1.0,3.0,2.0,green,blue,brown,grey,brown,grey,heart,heart,heart,heart,heart,circle,sharp,100,dimension_form,first
23,zrcf,3.0,7.0,3.0,2.0,2.0,2.0,3.0,10.0,black,black,black,black,black,grey,star,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,0,color_form,second
7,ercf,3.0,4.0,10.0,10.0,3.0,3.0,1.0,1.0,blue,grey,grey,grey,grey,grey,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,0,color_form,first
15,brcf,3.0,1.0,2.0,3.0,2.0,9.0,3.0,10.0,blue,blue,green,green,blue,green,heart,triangle,heart,heart,triangle,triangle,sharp,100,color_form,both
22,brdc,3.0,2.0,9.0,9.0,1.0,1.0,10.0,3.0,orange,brown,orange,orange,brown,brown,quadrat,star,quadrat,diamond,triangle,quadrat,sharp,100,dimension_color,both
20,brcf,3.0,1.0,1.0,10.0,1.0,10.0,9.0,2.0,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,sharp,0,color_form,both
9,brdc,3.0,2.0,10.0,10.0,3.0,1.0,10.0,2.0,brown,green,brown,brown,green,green,diamond,circle,diamond,quadrat,diamond,quadrat,sharp,100,dimension_color,both
23,brcf,3.0,1.0,3.0,10.0,3.0,3.0,10.0,2.0,grey,grey,black,black,grey,black,star,quadrat,star,star,quadrat,quadrat,sharp,0,color_form,both
20,zrcf,3.0,7.0,3.0,1.0,1.0,9.0,1.0,3.0,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,sharp,100,color_form,second
10,brdf,3.0,3.0,9.0,10.0,1.0,2.0,10.0,1.0,orange,grey,brown,green,green,grey,triangle,diamond,triangle,triangle,diamond,diamond,sharp,100,dimension_form,both
27,brdf,3.0,3.0,9.0,9.0,2.0,1.0,10.0,2.0,brown,brown,grey,green,orange,blue,heart,circle,heart,heart,circle,circle,sharp,100,dimension_form,both
5,brdf,3.0,3.0,10.0,10.0,1.0,3.0,9.0,3.0,brown,brown,green,blue,blue,blue,quadrat,star,quadrat,quadrat,star,star,sharp,100,dimension_form,both
16,brdf,3.0,3.0,10.0,9.0,3.0,2.0,10.0,2.0,green,black,green,blue,green,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,100,dimension_form,both
3,zrdc,3.0,8.0,10.0,10.0,10.0,9.0,9.0,3.0,black,green,green,green,green,green,star,heart,quadrat,circle,heart,quadrat,sharp,100,dimension_color,second
26,zrcf,3.0,7.0,3.0,2.0,2.0,3.0,3.0,10.0,black,black,black,black,black,orange,diamond,star,star,star,star,star,sharp,0,color_form,second
18,ercf,3.0,4.0,1.0,10.0,3.0,3.0,10.0,1.0,green,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,heart,sharp,100,color_form,first
2,zrdf,3.0,9.0,9.0,9.0,10.0,9.0,9.0,1.0,blue,green,grey,orange,brown,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,100,dimension_form,second
11,brdc,3.0,2.0,10.0,10.0,1.0,3.0,9.0,2.0,grey,brown,grey,grey,brown,brown,quadrat,triangle,triangle,triangle,diamond,quadrat,sharp,100,dimension_color,both
8,zrdf,3.0,9.0,9.0,9.0,9.0,10.0,9.0,2.0,orange,blue,brown,orange,blue,orange,star,diamond,diamond,diamond,diamond,diamond,sharp,0,dimension_form,second
16,zrdf,3.0,9.0,10.0,9.0,10.0,10.0,9.0,2.0,brown,grey,blue,brown,brown,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,100,dimension_form,second
25,zrdc,3.0,8.0,10.0,10.0,9.0,10.0,9.0,3.0,blue,grey,grey,grey,grey,grey,circle,quadrat,diamond,quadrat,quadrat,diamond,sharp,99,dimension_color,second
14,erdc,3.0,5.0,9.0,3.0,3.0,1.0,3.0,2.0,black,black,black,black,black,grey,triangle,diamond,heart,quadrat,diamond,diamond,sharp,100,dimension_color,first
19,zrdc,3.0,8.0,9.0,9.0,10.0,9.0,10.0,3.0,blue,orange,orange,orange,orange,orange,heart,diamond,diamond,diamond,circle,triangle,sharp,100,dimension_color,second
10,zrdf,3.0,9.0,10.0,10.0,9.0,9.0,10.0,3.0,orange,brown,blue,green,green,black,triangle,diamond,diamond,diamond,diamond,diamond,sharp,100,dimension_form,second
23,ercf,3.0,4.0,9.0,1.0,1.0,10.0,9.0,3.0,grey,black,black,black,black,black,star,star,star,star,star,quadrat,sharp,0,color_form,first
3,erdc,3.0,5.0,9.0,3.0,1.0,3.0,1.0,2.0,black,black,black,black,black,green,heart,star,heart,triangle,star,diamond,sharp,100,dimension_color,first
8,brdf,3.0,3.0,9.0,10.0,1.0,3.0,9.0,2.0,orange,blue,black,blue,grey,black,star,diamond,star,star,diamond,diamond,sharp,100,dimension_form,both
2,brdf,3.0,3.0,10.0,10.0,2.0,3.0,9.0,3.0,green,green,green,grey,black,grey,circle,quadrat,circle,circle,quadrat,quadrat,sharp,100,dimension_form,both
12,brcf,3.0,1.0,3.0,10.0,2.0,9.0,9.0,10.0,green,green,black,black,green,black,star,heart,star,star,heart,heart,sharp,0,color_form,both
21,zrdf,3.0,9.0,10.0,10.0,9.0,9.0,10.0,1.0,brown,grey,green,green,blue,green,heart,star,star,star,star,star,sharp,100,dimension_form,second
17,zrdc,3.0,8.0,9.0,10.0,9.0,9.0,9.0,1.0,black,orange,orange,orange,orange,orange,star,star,diamond,quadrat,star,triangle,sharp,100,dimension_color,second
20,ercf,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,sharp,0,color_form,first
19,erdc,3.0,5.0,10.0,1.0,3.0,2.0,2.0,1.0,orange,orange,orange,orange,orange,blue,diamond,triangle,circle,star,circle,quadrat,sharp,100,dimension_color,first
27,zrdf,3.0,9.0,10.0,10.0,10.0,9.0,10.0,1.0,orange,grey,blue,orange,brown,black,heart,circle,circle,circle,circle,circle,sharp,100,dimension_form,second
24,brdf,3.0,3.0,10.0,9.0,1.0,2.0,10.0,1.0,blue,blue,grey,grey,blue,orange,triangle,heart,triangle,triangle,heart,heart,sharp,100,dimension_form,both
6,erdc,3.0,5.0,9.0,2.0,2.0,1.0,3.0,1.0,green,green,green,green,green,blue,heart,triangle,quadrat,triangle,star,circle,sharp,100,dimension_color,first
2,erdf,3.0,6.0,10.0,2.0,2.0,2.0,3.0,2.0,blue,grey,black,black,brown,blue,circle,circle,circle,circle,circle,quadrat,sharp,100,dimension_form,first
21,brdf,3.0,3.0,9.0,9.0,3.0,2.0,9.0,2.0,brown,grey,grey,green,brown,green,heart,star,heart,heart,star,star,sharp,100,dimension_form,both
6,brdc,3.0,2.0,9.0,9.0,1.0,2.0,9.0,1.0,green,blue,green,green,blue,blue,diamond,quadrat,diamond,quadrat,circle,circle,sharp,100,dimension_color,both
15,ercf,3.0,4.0,1.0,9.0,1.0,3.0,10.0,1.0,blue,green,green,green,green,green,heart,heart,heart,heart,heart,triangle,sharp,100,color_form,first
10,erdf,3.0,6.0,10.0,2.0,2.0,1.0,3.0,2.0,black,black,green,orange,brown,blue,triangle,triangle,triangle,triangle,triangle,diamond,sharp,0,dimension_form,first
11,zrdc,3.0,8.0,10.0,10.0,10.0,9.0,10.0,1.0,grey,brown,brown,brown,brown,brown,diamond,heart,diamond,quadrat,diamond,quadrat,sharp,100,dimension_color,second
24,zrdf,3.0,9.0,9.0,10.0,9.0,10.0,10.0,2.0,black,grey,green,green,black,brown,triangle,heart,heart,heart,heart,heart,sharp,100,dimension_form,second
12,ercf,3.0,4.0,10.0,3.0,1.0,10.0,2.0,2.0,green,black,black,black,black,black,star,star,star,star,star,heart,sharp,100,color_form,first
5,zrdf,3.0,9.0,10.0,10.0,9.0,9.0,10.0,3.0,brown,brown,grey,brown,green,orange,quadrat,star,star,star,star,star,sharp,100,dimension_form,second
3,brdc,3.0,2.0,10.0,10.0,3.0,2.0,9.0,1.0,black,green,black,black,green,green,star,quadrat,quadrat,circle,star,triangle,sharp,100,dimension_color,both
16,erdf,3.0,6.0,9.0,1.0,1.0,3.0,2.0,2.0,grey,orange,orange,blue,blue,brown,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,100,dimension_form,first
4,ercf,3.0,4.0,9.0,10.0,3.0,1.0,2.0,10.0,orange,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,diamond,sharp,0,color_form,first
13,erdf,3.0,6.0,10.0,1.0,2.0,3.0,3.0,2.0,brown,orange,blue,green,blue,brown,circle,circle,circle,circle,circle,diamond,sharp,100,dimension_form,first
12,zrcf,3.0,7.0,2.0,10.0,10.0,3.0,9.0,2.0,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,sharp,0,color_form,second
8,erdf,3.0,6.0,9.0,2.0,1.0,3.0,1.0,3.0,brown,green,green,orange,blue,grey,star,star,star,star,star,diamond,sharp,100,dimension_form,first
26,ercf,3.0,4.0,2.0,10.0,1.0,10.0,9.0,2.0,orange,black,black,black,black,black,diamond,diamond,diamond,diamond,diamond,star,sharp,100,color_form,first
14,zrdc,3.0,8.0,9.0,9.0,9.0,10.0,9.0,2.0,black,grey,grey,grey,grey,grey,circle,quadrat,quadrat,quadrat,diamond,diamond,sharp,100,dimension_color,second
25,erdc,3.0,5.0,9.0,2.0,2.0,2.0,2.0,3.0,grey,grey,grey,grey,grey,blue,circle,triangle,quadrat,quadrat,quadrat,star,sharp,100,dimension_color,first
14,brdc,3.0,2.0,10.0,10.0,2.0,2.0,10.0,2.0,black,grey,black,black,grey,grey,heart,quadrat,diamond,heart,star,star,sharp,100,dimension_color,both
1,ercf,3.0,4.0,2.0,10.0,10.0,10.0,9.0,10.0,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,sharp,0,color_form,first
24,erdf,3.0,6.0,9.0,2.0,3.0,2.0,3.0,1.0,brown,black,blue,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,heart,sharp,100,dimension_form,first
5,erdf,3.0,6.0,10.0,1.0,3.0,1.0,2.0,3.0,blue,black,green,green,black,brown,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,100,dimension_form,first
1,brcf,3.0,1.0,9.0,10.0,2.0,9.0,2.0,2.0,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,sharp,0,color_form,both
9,zrdc,3.0,8.0,10.0,9.0,9.0,9.0,9.0,1.0,brown,green,green,green,green,green,quadrat,triangle,diamond,circle,quadrat,heart,sharp,100,dimension_color,second
15,zrcf,3.0,7.0,10.0,9.0,10.0,9.0,1.0,3.0,blue,blue,blue,blue,blue,green,heart,triangle,triangle,triangle,triangle,triangle,sharp,100,color_form,second
26,brcf,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,orange,orange,black,black,orange,black,diamond,star,diamond,diamond,star,star,sharp,0,color_form,both
18,brcf,3.0,1.0,9.0,1.0,3.0,1.0,1.0,10.0,green,green,brown,brown,green,brown,circle,heart,circle,circle,heart,heart,sharp,100,color_form,both
18,zrcf,3.0,7.0,2.0,1.0,2.0,9.0,10.0,1.0,green,green,green,green,green,brown,circle,heart,heart,heart,heart,heart,sharp,0,color_form,second
