canonical_row_position,id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property,stimulus_row_index,trials_raw_stimulus,D,C,F,noun,sharpness_raw_stimulus
2031,26,19,brdc,3,DC,2,10,10,1,2,9,3,blue,orange,blue,blue,orange,orange,triangle,star,star,heart,quadrat,quadrat,sharp,dimension_color,both,19,2,BR-A,BR-AB,,Aufkleber,sharp
2032,26,25,zrdc,3,C,8,10,10,9,10,9,3,blue,grey,grey,grey,grey,grey,circle,quadrat,diamond,quadrat,quadrat,diamond,sharp,dimension_color,second,187,8,NR-A,R-AD,,Aufkleber,sharp
2033,26,1,brcf,3,CF,1,9,10,2,9,2,2,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,sharp,color_form,both,0,1,,BR-AB,BR-AB,Aufkleber,sharp
2034,26,23,ercf,3,CF,4,9,1,1,10,9,3,grey,black,black,black,black,black,star,star,star,star,star,quadrat,sharp,color_form,first,129,4,,R-DE,NR-ED,Aufkleber,sharp
2035,26,9,zrdc,3,C,8,10,9,9,9,9,1,brown,green,green,green,green,green,quadrat,triangle,diamond,circle,quadrat,heart,sharp,dimension_color,second,223,8,NR-A,R-CF,,Aufkleber,sharp
2036,26,2,erdf,3,DF,6,10,2,2,2,3,2,blue,grey,black,black,brown,blue,circle,circle,circle,circle,circle,quadrat,sharp,dimension_form,first,32,6,R-B,,NR-CD,Aufkleber,sharp
2037,26,27,erdf,3,D,6,10,3,1,1,3,2,green,blue,brown,grey,brown,grey,heart,heart,heart,heart,heart,circle,sharp,dimension_form,first,239,6,R-A,,NR-FC,Aufkleber,sharp
2038,26,21,brdf,3,DC,3,9,9,3,2,9,2,brown,grey,grey,green,brown,green,heart,star,heart,heart,star,star,sharp,dimension_form,both,74,3,BR-A,,BR-FE,Aufkleber,sharp
2039,26,6,zrdc,3,C,8,9,10,9,10,10,3,green,blue,blue,blue,blue,blue,circle,circle,triangle,circle,triangle,star,sharp,dimension_color,second,142,8,NR-A,R-FA,,Aufkleber,sharp
2040,26,4,zrcf,3,F,7,10,1,3,1,3,3,orange,orange,orange,orange,orange,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,87,7,,NR-BC,R-BC,Aufkleber,sharp
2041,26,27,zrdf,3,F,9,10,10,10,9,10,1,orange,grey,blue,orange,brown,black,heart,circle,circle,circle,circle,circle,sharp,dimension_form,second,242,9,NR-A,,R-FC,Aufkleber,sharp
2042,26,14,erdc,3,D,5,9,3,3,1,3,2,black,black,black,black,black,grey,triangle,diamond,heart,quadrat,diamond,diamond,sharp,dimension_color,first,121,5,R-A,NR-ED,,Aufkleber,sharp
2043,26,16,brdf,3,DF,3,10,9,3,2,10,2,green,black,green,blue,green,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,dimension_form,both,173,3,BR-B,,BR-AD,Aufkleber,sharp
2044,26,10,erdf,3,DF,6,10,2,2,1,3,2,black,black,green,orange,brown,blue,triangle,triangle,triangle,triangle,triangle,diamond,sharp,dimension_form,first,14,6,R-B,,NR-AB,Aufkleber,sharp
2045,26,21,zrdf,3,C,9,10,10,9,9,10,1,brown,grey,green,green,blue,green,heart,star,star,star,star,star,sharp,dimension_form,second,80,9,NR-A,,R-FE,Aufkleber,sharp
2046,26,26,zrcf,3,F,7,3,2,2,3,3,10,black,black,black,black,black,orange,diamond,star,star,star,star,star,sharp,color_form,second,213,7,,NR-EB,R-EB,Aufkleber,sharp
2047,26,16,zrdf,3,F,9,10,9,10,10,9,2,brown,grey,blue,brown,brown,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,179,9,NR-B,,R-AD,Aufkleber,sharp
2048,26,22,erdc,3,D,5,10,1,3,3,1,1,brown,brown,brown,brown,brown,orange,quadrat,triangle,quadrat,quadrat,triangle,quadrat,sharp,dimension_color,first,103,5,R-A,NR-CB,,Aufkleber,sharp
2049,26,9,brdc,3,DC,2,10,10,3,1,10,2,brown,green,brown,brown,green,green,diamond,circle,diamond,quadrat,diamond,quadrat,sharp,dimension_color,both,217,2,BR-A,BR-CF,,Aufkleber,sharp
2050,26,12,zrcf,3,F,7,2,10,10,3,9,2,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,sharp,color_form,second,69,7,,NR-FE,R-EF,Aufkleber,sharp
2051,26,5,brdf,3,DF,3,10,10,1,3,9,3,brown,brown,green,blue,blue,blue,quadrat,star,quadrat,quadrat,star,star,sharp,dimension_form,both,110,3,BR-B,,BR-DE,Aufkleber,sharp
2052,26,3,erdc,3,D,5,9,3,1,3,1,2,black,black,black,black,black,green,heart,star,heart,triangle,star,diamond,sharp,dimension_color,first,58,5,R-A,NR-EF,,Aufkleber,sharp
2053,26,27,brdf,3,DF,3,9,9,2,1,10,2,brown,brown,grey,green,orange,blue,heart,circle,heart,heart,circle,circle,sharp,dimension_form,both,236,3,BR-A,,BR-FC,Aufkleber,sharp
2054,26,13,brdf,3,DC,3,9,9,2,3,9,1,grey,orange,grey,orange,grey,grey,circle,diamond,circle,circle,diamond,diamond,sharp,dimension_form,both,92,3,BR-B,,BR-BC,Aufkleber,sharp
2055,26,8,zrdf,3,F,9,9,9,9,10,9,2,orange,blue,brown,orange,blue,orange,star,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,197,9,NR-B,,R-BE,Aufkleber,sharp
2056,26,15,zrcf,3,F,7,10,9,10,9,1,3,blue,blue,blue,blue,blue,green,heart,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,150,7,,NR-AF,R-FA,Aufkleber,sharp
2057,26,22,zrdc,3,C,8,10,10,9,9,9,1,orange,brown,brown,brown,brown,brown,star,heart,circle,quadrat,quadrat,circle,sharp,dimension_color,second,106,8,NR-A,R-BC,,Aufkleber,sharp
2058,26,24,brdf,3,DF,3,10,9,1,2,10,1,blue,blue,grey,grey,blue,orange,triangle,heart,triangle,triangle,heart,heart,sharp,dimension_form,both,155,3,BR-A,,BR-AF,Aufkleber,sharp
2059,26,15,brcf,3,DCF,1,2,3,2,9,3,10,blue,blue,green,green,blue,green,heart,triangle,heart,heart,triangle,triangle,sharp,color_form,both,144,1,,BR-AF,BR-FA,Aufkleber,sharp
2060,26,18,zrcf,3,F,7,2,1,2,9,10,1,green,green,green,green,green,brown,circle,heart,heart,heart,heart,heart,sharp,color_form,second,231,7,,NR-FC,R-CF,Aufkleber,sharp
2061,26,20,zrcf,3,F,7,3,1,1,9,1,3,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,sharp,color_form,second,51,7,,NR-DC,R-DC,Aufkleber,sharp
2062,26,24,erdf,3,D,6,9,2,3,2,3,1,brown,black,blue,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,heart,sharp,dimension_form,first,158,6,R-A,,NR-AF,Aufkleber,sharp
2063,26,11,erdc,3,D,5,10,1,2,2,3,1,grey,grey,grey,grey,grey,brown,circle,star,heart,quadrat,quadrat,quadrat,sharp,dimension_color,first,40,5,R-A,NR-DC,,Aufkleber,sharp
2064,26,4,brcf,3,FC,1,9,3,1,3,10,2,orange,orange,brown,brown,orange,brown,circle,diamond,circle,circle,diamond,diamond,sharp,color_form,both,81,1,,BR-BC,BR-BC,Aufkleber,sharp
2065,26,18,brcf,3,DF,1,9,1,3,1,1,10,green,green,brown,brown,green,brown,circle,heart,circle,circle,heart,heart,sharp,color_form,both,225,1,,BR-FC,BR-CF,Aufkleber,sharp
2066,26,11,zrdc,3,C,8,10,10,10,9,10,1,grey,brown,brown,brown,brown,brown,diamond,heart,diamond,quadrat,diamond,quadrat,sharp,dimension_color,second,43,8,NR-A,R-DC,,Aufkleber,sharp
2067,26,17,zrdc,3,C,8,9,10,9,9,9,1,black,orange,orange,orange,orange,orange,star,star,diamond,quadrat,star,triangle,sharp,dimension_color,second,205,8,NR-A,R-EB,,Aufkleber,sharp
2068,26,3,brdc,3,DF,2,10,10,3,2,9,1,black,green,black,black,green,green,star,quadrat,quadrat,circle,star,triangle,sharp,dimension_color,both,55,2,BR-A,BR-EF,,Aufkleber,sharp
2069,26,1,zrcf,3,CF,7,2,2,1,3,2,3,blue,blue,blue,blue,blue,orange,triangle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,6,7,,NR-AB,R-AB,Aufkleber,sharp
2070,26,15,ercf,3,C,4,1,9,1,3,10,1,blue,green,green,green,green,green,heart,heart,heart,heart,heart,triangle,sharp,color_form,first,147,4,,R-AF,NR-FA,Aufkleber,sharp
2071,26,17,brdc,3,DF,2,9,10,3,2,10,2,black,orange,black,black,orange,orange,star,triangle,heart,quadrat,star,heart,sharp,dimension_color,both,199,2,BR-A,BR-EB,,Aufkleber,sharp
2072,26,20,ercf,3,C,4,3,1,3,2,3,3,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,sharp,color_form,first,48,4,,R-CD,NR-DC,Aufkleber,sharp
2073,26,17,erdc,3,F,5,10,2,1,3,1,1,black,black,black,black,black,orange,heart,star,diamond,heart,quadrat,diamond,sharp,dimension_color,first,202,5,R-A,NR-EB,,Aufkleber,sharp
2074,26,3,zrdc,3,C,8,10,10,10,9,9,3,black,green,green,green,green,green,star,heart,quadrat,circle,heart,quadrat,sharp,dimension_color,second,61,8,NR-A,R-EF,,Aufkleber,sharp
2075,26,25,erdc,3,D,5,9,2,2,2,2,3,grey,grey,grey,grey,grey,blue,circle,triangle,quadrat,quadrat,quadrat,star,sharp,dimension_color,first,184,5,R-A,NR-DA,,Aufkleber,sharp
2076,26,1,ercf,3,C,4,2,10,10,10,9,10,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,sharp,color_form,first,3,4,,R-AB,NR-AB,Aufkleber,sharp
2077,26,19,erdc,3,F,5,10,1,3,2,2,1,orange,orange,orange,orange,orange,blue,diamond,triangle,circle,star,circle,quadrat,sharp,dimension_color,first,22,5,R-A,NR-BA,,Aufkleber,sharp
2078,26,6,brdc,3,DC,2,9,9,1,2,9,1,green,blue,green,green,blue,blue,diamond,quadrat,diamond,quadrat,circle,circle,sharp,dimension_color,both,136,2,BR-A,BR-FA,,Aufkleber,sharp
2079,26,25,brdc,3,DC,2,9,9,1,1,9,2,blue,grey,blue,blue,grey,grey,heart,quadrat,triangle,diamond,triangle,circle,sharp,dimension_color,both,181,2,BR-A,BR-AD,,Aufkleber,sharp
2080,26,7,brcf,3,DCF,1,3,2,10,9,2,3,blue,blue,grey,grey,blue,grey,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,color_form,both,162,1,,BR-AD,BR-AD,Aufkleber,sharp
2081,26,23,brcf,3,CF,1,3,10,3,3,10,2,grey,grey,black,black,grey,black,star,quadrat,star,star,quadrat,quadrat,sharp,color_form,both,126,1,,BR-DE,BR-ED,Aufkleber,sharp
2082,26,12,ercf,3,C,4,10,3,1,10,2,2,green,black,black,black,black,black,star,star,star,star,star,heart,sharp,color_form,first,66,4,,R-FE,NR-EF,Aufkleber,sharp
2083,26,5,erdf,3,D,6,10,1,3,1,2,3,blue,black,green,green,black,brown,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,dimension_form,first,113,6,R-B,,NR-DE,Aufkleber,sharp
2084,26,16,erdf,3,D,6,9,1,1,3,2,2,grey,orange,orange,blue,blue,brown,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,dimension_form,first,176,6,R-B,,NR-AD,Aufkleber,sharp
2085,26,8,brdf,3,DF,3,9,10,1,3,9,2,orange,blue,black,blue,grey,black,star,diamond,star,star,diamond,diamond,sharp,dimension_form,both,191,3,BR-B,,BR-BE,Aufkleber,sharp
2086,26,24,zrdf,3,F,9,9,10,9,10,10,2,black,grey,green,green,black,brown,triangle,heart,heart,heart,heart,heart,sharp,dimension_form,second,161,9,NR-A,,R-AF,Aufkleber,sharp
2087,26,14,zrdc,3,C,8,9,9,9,10,9,2,black,grey,grey,grey,grey,grey,circle,quadrat,quadrat,quadrat,diamond,diamond,sharp,dimension_color,second,124,8,NR-A,R-ED,,Aufkleber,sharp
2088,26,9,erdc,3,D,5,10,2,1,1,3,1,brown,brown,brown,brown,brown,green,triangle,quadrat,diamond,quadrat,triangle,circle,sharp,dimension_color,first,220,5,R-A,NR-CF,,Aufkleber,sharp
2089,26,13,zrdf,3,C,9,9,9,10,10,10,3,brown,blue,black,green,black,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,98,9,NR-B,,R-BC,Aufkleber,sharp
2090,26,22,brdc,3,DF,2,9,9,1,1,10,3,orange,brown,orange,orange,brown,brown,quadrat,star,quadrat,diamond,triangle,quadrat,sharp,dimension_color,both,100,2,BR-A,BR-BC,,Aufkleber,sharp
2091,26,7,zrcf,3,F,7,10,3,10,9,1,2,blue,blue,blue,blue,blue,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,168,7,,NR-AD,R-AD,Aufkleber,sharp
2092,26,14,brdc,3,DF,2,10,10,2,2,10,2,black,grey,black,black,grey,grey,heart,quadrat,diamond,heart,star,star,sharp,dimension_color,both,118,2,BR-A,BR-ED,,Aufkleber,sharp
2093,26,2,zrdf,3,F,9,9,9,10,9,9,1,blue,green,grey,orange,brown,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,35,9,NR-B,,R-CD,Aufkleber,sharp
2094,26,21,erdf,3,DF,6,10,2,3,3,1,3,brown,grey,green,black,grey,grey,heart,heart,heart,heart,heart,star,sharp,dimension_form,first,77,6,R-A,,NR-FE,Aufkleber,sharp
2095,26,10,brdf,3,DF,3,9,10,1,2,10,1,orange,grey,brown,green,green,grey,triangle,diamond,triangle,triangle,diamond,diamond,sharp,dimension_form,both,11,3,BR-B,,BR-AB,Aufkleber,sharp
2096,26,13,erdf,3,C,6,10,1,2,3,3,2,brown,orange,blue,green,blue,brown,circle,circle,circle,circle,circle,diamond,sharp,dimension_form,first,95,6,R-B,,NR-BC,Aufkleber,sharp
2097,26,26,brcf,3,DF,1,1,1,2,2,2,3,orange,orange,black,black,orange,black,diamond,star,diamond,diamond,star,star,sharp,color_form,both,207,1,,BR-BE,BR-EB,Aufkleber,sharp
2098,26,6,erdc,3,D,5,9,2,2,1,3,1,green,green,green,green,green,blue,heart,triangle,quadrat,triangle,star,circle,sharp,dimension_color,first,139,5,R-A,NR-FA,,Aufkleber,sharp
2099,26,20,brcf,3,CF,1,1,10,1,10,9,2,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,sharp,color_form,both,45,1,,BR-CD,BR-DC,Aufkleber,sharp
2100,26,18,ercf,3,C,4,1,10,3,3,10,1,green,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,heart,sharp,color_form,first,228,4,,R-FC,NR-CF,Aufkleber,sharp
2101,26,11,brdc,3,DC,2,10,10,1,3,9,2,grey,brown,grey,grey,brown,brown,quadrat,triangle,triangle,triangle,diamond,quadrat,sharp,dimension_color,both,37,2,BR-A,BR-DC,,Aufkleber,sharp
2102,27,6,brdc,3,CF,2,9,9,1,2,9,1,green,blue,green,green,blue,blue,diamond,quadrat,diamond,quadrat,circle,circle,sharp,dimension_color,both,136,2,BR-A,BR-FA,,Aufkleber,sharp
2103,27,8,erdf,3,CF,6,9,2,1,3,1,3,brown,green,green,orange,blue,grey,star,star,star,star,star,diamond,sharp,dimension_form,first,194,6,R-B,,NR-BE,Aufkleber,sharp
2104,27,10,brdf,3,CF,3,9,10,1,2,10,1,orange,grey,brown,green,green,grey,triangle,diamond,triangle,triangle,diamond,diamond,sharp,dimension_form,both,11,3,BR-B,,BR-AB,Aufkleber,sharp
2105,27,18,ercf,3,CF,4,1,10,3,3,10,1,green,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,heart,sharp,color_form,first,228,4,,R-FC,NR-CF,Aufkleber,sharp
2106,27,25,erdc,3,FC,5,9,2,2,2,2,3,grey,grey,grey,grey,grey,blue,circle,triangle,quadrat,quadrat,quadrat,star,sharp,dimension_color,first,184,5,R-A,NR-DA,,Aufkleber,sharp
2107,27,5,erdf,3,FC,6,10,1,3,1,2,3,blue,black,green,green,black,brown,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,dimension_form,first,113,6,R-B,,NR-DE,Aufkleber,sharp
2108,27,6,erdc,3,FC,5,9,2,2,1,3,1,green,green,green,green,green,blue,heart,triangle,quadrat,triangle,star,circle,sharp,dimension_color,first,139,5,R-A,NR-FA,,Aufkleber,sharp
2109,27,16,zrdf,3,FC,9,10,9,10,10,9,2,brown,grey,blue,brown,brown,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,179,9,NR-B,,R-AD,Aufkleber,sharp
2110,27,17,zrdc,3,CF,8,9,10,9,9,9,1,black,orange,orange,orange,orange,orange,star,star,diamond,quadrat,star,triangle,sharp,dimension_color,second,205,8,NR-A,R-EB,,Aufkleber,sharp
2111,27,8,zrdf,3,FC,9,9,9,9,10,9,2,orange,blue,brown,orange,blue,orange,star,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,197,9,NR-B,,R-BE,Aufkleber,sharp
2112,27,12,zrcf,3,CF,7,2,10,10,3,9,2,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,sharp,color_form,second,69,7,,NR-FE,R-EF,Aufkleber,sharp
2113,27,14,brdc,3,CF,2,10,10,2,2,10,2,black,grey,black,black,grey,grey,heart,quadrat,diamond,heart,star,star,sharp,dimension_color,both,118,2,BR-A,BR-ED,,Aufkleber,sharp
2114,27,1,brcf,3,FC,1,9,10,2,9,2,2,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,sharp,color_form,both,0,1,,BR-AB,BR-AB,Aufkleber,sharp
2115,27,10,erdf,3,FC,6,10,2,2,1,3,2,black,black,green,orange,brown,blue,triangle,triangle,triangle,triangle,triangle,diamond,sharp,dimension_form,first,14,6,R-B,,NR-AB,Aufkleber,sharp
2116,27,14,zrdc,3,CF,8,9,9,9,10,9,2,black,grey,grey,grey,grey,grey,circle,quadrat,quadrat,quadrat,diamond,diamond,sharp,dimension_color,second,124,8,NR-A,R-ED,,Aufkleber,sharp
2117,27,27,brdf,3,FC,3,9,9,2,1,10,2,brown,brown,grey,green,orange,blue,heart,circle,heart,heart,circle,circle,sharp,dimension_form,both,236,3,BR-A,,BR-FC,Aufkleber,sharp
2118,27,13,erdf,3,FC,6,10,1,2,3,3,2,brown,orange,blue,green,blue,brown,circle,circle,circle,circle,circle,diamond,sharp,dimension_form,first,95,6,R-B,,NR-BC,Aufkleber,sharp
2119,27,17,brdc,3,CF,2,9,10,3,2,10,2,black,orange,black,black,orange,orange,star,triangle,heart,quadrat,star,heart,sharp,dimension_color,both,199,2,BR-A,BR-EB,,Aufkleber,sharp
2120,27,23,brcf,3,FC,1,3,10,3,3,10,2,grey,grey,black,black,grey,black,star,quadrat,star,star,quadrat,quadrat,sharp,color_form,both,126,1,,BR-DE,BR-ED,Aufkleber,sharp
2121,27,22,brdc,3,FC,2,9,9,1,1,10,3,orange,brown,orange,orange,brown,brown,quadrat,star,quadrat,diamond,triangle,quadrat,sharp,dimension_color,both,100,2,BR-A,BR-BC,,Aufkleber,sharp
2122,27,1,ercf,3,CF,4,2,10,10,10,9,10,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,sharp,color_form,first,3,4,,R-AB,NR-AB,Aufkleber,sharp
2123,27,19,brdc,3,CF,2,10,10,1,2,9,3,blue,orange,blue,blue,orange,orange,triangle,star,star,heart,quadrat,quadrat,sharp,dimension_color,both,19,2,BR-A,BR-AB,,Aufkleber,sharp
2124,27,23,ercf,3,CF,4,9,1,1,10,9,3,grey,black,black,black,black,black,star,star,star,star,star,quadrat,sharp,color_form,first,129,4,,R-DE,NR-ED,Aufkleber,sharp
2125,27,13,zrdf,3,CF,9,9,9,10,10,10,3,brown,blue,black,green,black,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,98,9,NR-B,,R-BC,Aufkleber,sharp
2126,27,27,erdf,3,CF,6,10,3,1,1,3,2,green,blue,brown,grey,brown,grey,heart,heart,heart,heart,heart,circle,sharp,dimension_form,first,239,6,R-A,,NR-FC,Aufkleber,sharp
2127,27,16,brdf,3,CF,3,10,9,3,2,10,2,green,black,green,blue,green,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,dimension_form,both,173,3,BR-B,,BR-AD,Aufkleber,sharp
2128,27,3,zrdc,3,CF,8,10,10,10,9,9,3,black,green,green,green,green,green,star,heart,quadrat,circle,heart,quadrat,sharp,dimension_color,second,61,8,NR-A,R-EF,,Aufkleber,sharp
2129,27,7,zrcf,3,CF,7,10,3,10,9,1,2,blue,blue,blue,blue,blue,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,168,7,,NR-AD,R-AD,Aufkleber,sharp
2130,27,7,brcf,3,CF,1,3,2,10,9,2,3,blue,blue,grey,grey,blue,grey,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,color_form,both,162,1,,BR-AD,BR-AD,Aufkleber,sharp
2131,27,24,brdf,3,CF,3,10,9,1,2,10,1,blue,blue,grey,grey,blue,orange,triangle,heart,triangle,triangle,heart,heart,sharp,dimension_form,both,155,3,BR-A,,BR-AF,Aufkleber,sharp
2132,27,24,erdf,3,CF,6,9,2,3,2,3,1,brown,black,blue,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,heart,sharp,dimension_form,first,158,6,R-A,,NR-AF,Aufkleber,sharp
2133,27,20,ercf,3,CF,4,3,1,3,2,3,3,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,sharp,color_form,first,48,4,,R-CD,NR-DC,Aufkleber,sharp
2134,27,16,erdf,3,CF,6,9,1,1,3,2,2,grey,orange,orange,blue,blue,brown,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,dimension_form,first,176,6,R-B,,NR-AD,Aufkleber,sharp
2135,27,7,ercf,3,FC,4,10,10,3,3,1,1,blue,grey,grey,grey,grey,grey,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,color_form,first,165,4,,R-AD,NR-AD,Aufkleber,sharp
2136,27,19,erdc,3,CF,5,10,1,3,2,2,1,orange,orange,orange,orange,orange,blue,diamond,triangle,circle,star,circle,quadrat,sharp,dimension_color,first,22,5,R-A,NR-BA,,Aufkleber,sharp
2137,27,25,brdc,3,FC,2,9,9,1,1,9,2,blue,grey,blue,blue,grey,grey,heart,quadrat,triangle,diamond,triangle,circle,sharp,dimension_color,both,181,2,BR-A,BR-AD,,Aufkleber,sharp
2138,27,19,zrdc,3,CF,8,9,9,10,9,10,3,blue,orange,orange,orange,orange,orange,heart,diamond,diamond,diamond,circle,triangle,sharp,dimension_color,second,25,8,NR-A,R-AB,,Aufkleber,sharp
2139,27,5,brdf,3,CF,3,10,10,1,3,9,3,brown,brown,green,blue,blue,blue,quadrat,star,quadrat,quadrat,star,star,sharp,dimension_form,both,110,3,BR-B,,BR-DE,Aufkleber,sharp
2140,27,3,erdc,3,CF,5,9,3,1,3,1,2,black,black,black,black,black,green,heart,star,heart,triangle,star,diamond,sharp,dimension_color,first,58,5,R-A,NR-EF,,Aufkleber,sharp
2141,27,26,zrcf,3,CF,7,3,2,2,3,3,10,black,black,black,black,black,orange,diamond,star,star,star,star,star,sharp,color_form,second,213,7,,NR-EB,R-EB,Aufkleber,sharp
2142,27,13,brdf,3,CF,3,9,9,2,3,9,1,grey,orange,grey,orange,grey,grey,circle,diamond,circle,circle,diamond,diamond,sharp,dimension_form,both,92,3,BR-B,,BR-BC,Aufkleber,sharp
2143,27,21,erdf,3,CF,6,10,2,3,3,1,3,brown,grey,green,black,grey,grey,heart,heart,heart,heart,heart,star,sharp,dimension_form,first,77,6,R-A,,NR-FE,Aufkleber,sharp
2144,27,17,erdc,3,CF,5,10,2,1,3,1,1,black,black,black,black,black,orange,heart,star,diamond,heart,quadrat,diamond,sharp,dimension_color,first,202,5,R-A,NR-EB,,Aufkleber,sharp
2145,27,23,zrcf,3,CF,7,3,2,2,2,3,10,black,black,black,black,black,grey,star,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,132,7,,NR-ED,R-ED,Aufkleber,sharp
2146,27,15,ercf,3,CF,4,1,9,1,3,10,1,blue,green,green,green,green,green,heart,heart,heart,heart,heart,triangle,sharp,color_form,first,147,4,,R-AF,NR-FA,Aufkleber,sharp
2147,27,15,zrcf,3,CF,7,10,9,10,9,1,3,blue,blue,blue,blue,blue,green,heart,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,150,7,,NR-AF,R-FA,Aufkleber,sharp
2148,27,6,zrdc,3,CF,8,9,10,9,10,10,3,green,blue,blue,blue,blue,blue,circle,circle,triangle,circle,triangle,star,sharp,dimension_color,second,142,8,NR-A,R-FA,,Aufkleber,sharp
2149,27,20,brcf,3,CF,1,1,10,1,10,9,2,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,sharp,color_form,both,45,1,,BR-CD,BR-DC,Aufkleber,sharp
2150,27,27,zrdf,3,CF,9,10,10,10,9,10,1,orange,grey,blue,orange,brown,black,heart,circle,circle,circle,circle,circle,sharp,dimension_form,second,242,9,NR-A,,R-FC,Aufkleber,sharp
2151,27,2,zrdf,3,CF,9,9,9,10,9,9,1,blue,green,grey,orange,brown,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,35,9,NR-B,,R-CD,Aufkleber,sharp
2152,27,20,zrcf,3,FC,7,3,1,1,9,1,3,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,sharp,color_form,second,51,7,,NR-DC,R-DC,Aufkleber,sharp
2153,27,22,zrdc,3,FC,8,10,10,9,9,9,1,orange,brown,brown,brown,brown,brown,star,heart,circle,quadrat,quadrat,circle,sharp,dimension_color,second,106,8,NR-A,R-BC,,Aufkleber,sharp
2154,27,22,erdc,3,CF,5,10,1,3,3,1,1,brown,brown,brown,brown,brown,orange,quadrat,triangle,quadrat,quadrat,triangle,quadrat,sharp,dimension_color,first,103,5,R-A,NR-CB,,Aufkleber,sharp
2155,27,11,brdc,3,CF,2,10,10,1,3,9,2,grey,brown,grey,grey,brown,brown,quadrat,triangle,triangle,triangle,diamond,quadrat,sharp,dimension_color,both,37,2,BR-A,BR-DC,,Aufkleber,sharp
2156,27,12,ercf,3,CF,4,10,3,1,10,2,2,green,black,black,black,black,black,star,star,star,star,star,heart,sharp,color_form,first,66,4,,R-FE,NR-EF,Aufkleber,sharp
2157,27,12,brcf,3,CF,1,3,10,2,9,9,10,green,green,black,black,green,black,star,heart,star,star,heart,heart,sharp,color_form,both,63,1,,BR-FE,BR-EF,Aufkleber,sharp
2158,27,21,zrdf,3,CF,9,10,10,9,9,10,1,brown,grey,green,green,blue,green,heart,star,star,star,star,star,sharp,dimension_form,second,80,9,NR-A,,R-FE,Aufkleber,sharp
2159,27,18,zrcf,3,FC,7,2,1,2,9,10,1,green,green,green,green,green,brown,circle,heart,heart,heart,heart,heart,sharp,color_form,second,231,7,,NR-FC,R-CF,Aufkleber,sharp
2160,27,2,erdf,3,FC,6,10,2,2,2,3,2,blue,grey,black,black,brown,blue,circle,circle,circle,circle,circle,quadrat,sharp,dimension_form,first,32,6,R-B,,NR-CD,Aufkleber,sharp
